x_0	f(x)
$flags auto[subscript]:8	auto[subscript]:8
3.71101792e-01	-3.28936635e-01
3.75007793e-01	-3.18618813e-01
3.78913795e-01	-3.08334800e-01
3.82819796e-01	-2.98083295e-01
3.86725797e-01	-2.87863021e-01
3.90631798e-01	-2.77672729e-01
3.94537800e-01	-2.67511191e-01
3.98443801e-01	-2.57377200e-01
4.02349802e-01	-2.47269573e-01
4.06255804e-01	-2.37187147e-01
4.10161805e-01	-2.27128774e-01
4.14067806e-01	-2.17093329e-01
4.17973808e-01	-2.07079700e-01
4.21879809e-01	-1.97086793e-01
4.25785810e-01	-1.87113529e-01
4.29691811e-01	-1.77158842e-01
4.33597813e-01	-1.67221680e-01
4.37503814e-01	-1.57301004e-01
4.41409815e-01	-1.47395786e-01
4.45315817e-01	-1.37505009e-01
4.49221818e-01	-1.27627665e-01
4.53127819e-01	-1.17762758e-01
4.57033820e-01	-1.07909298e-01
4.60939822e-01	-9.80663037e-02
4.64845823e-01	-8.82328019e-02
4.68751824e-01	-7.84078248e-02
4.72657826e-01	-6.85904109e-02
4.76563827e-01	-5.87796035e-02
4.80469828e-01	-4.89744507e-02
4.84375829e-01	-3.91740042e-02
4.88281831e-01	-2.93773189e-02
4.92187832e-01	-1.95834524e-02
4.96093833e-01	-9.79146406e-03
4.99999835e-01	-4.14470979e-07
5.03905836e-01	9.79063508e-03
5.07811837e-01	1.95826233e-02
5.11717839e-01	2.93764896e-02
5.15623840e-01	3.91731746e-02
5.19529841e-01	4.89736207e-02
5.23435842e-01	5.87787731e-02
5.27341844e-01	6.85895800e-02
5.31247845e-01	7.84069933e-02
5.35153846e-01	8.82319697e-02
5.39059848e-01	9.80654707e-02
5.42965849e-01	1.07908464e-01
5.46871850e-01	1.17761923e-01
5.50777851e-01	1.27626829e-01
5.54683853e-01	1.37504172e-01
5.58589854e-01	1.47394948e-01
5.62495855e-01	1.57300165e-01
5.66401857e-01	1.67220840e-01
5.70307858e-01	1.77158000e-01
5.74213859e-01	1.87112686e-01
5.78119860e-01	1.97085948e-01
5.82025862e-01	2.07078853e-01
5.85931863e-01	2.17092480e-01
5.89837864e-01	2.27127924e-01
5.93743866e-01	2.37186294e-01
5.97649867e-01	2.47268719e-01
6.01555868e-01	2.57376343e-01
6.05461870e-01	2.67510331e-01
6.09367871e-01	2.77671868e-01
6.13273872e-01	2.87862157e-01
6.17179873e-01	2.98082428e-01
6.21085875e-01	3.08333931e-01
6.24991876e-01	3.18617941e-01
6.28897877e-01	3.28935760e-01
6.32803879e-01	3.39288716e-01
6.36709880e-01	3.49678169e-01
6.40615881e-01	3.60105504e-01
6.44521882e-01	3.70572142e-01
6.48427884e-01	3.81079536e-01
6.52333885e-01	3.91629173e-01
6.56239886e-01	4.02222579e-01
6.60145888e-01	4.12861317e-01
6.64051889e-01	4.23546991e-01
6.67957890e-01	4.34281248e-01
6.71863891e-01	4.45065781e-01
6.75769893e-01	4.55902330e-01
6.79675894e-01	4.66792682e-01
6.83581895e-01	4.77738681e-01
6.87487897e-01	4.88742223e-01
6.91393898e-01	4.99805263e-01
6.95299899e-01	5.10929817e-01
6.99205901e-01	5.22117964e-01
7.03111902e-01	5.33371854e-01
7.07017903e-01	5.44693706e-01
7.10923904e-01	5.56085815e-01
7.14829906e-01	5.67550555e-01
7.18735907e-01	5.79090386e-01
7.22641908e-01	5.90707854e-01
7.26547910e-01	6.02405602e-01
7.30453911e-01	6.14186370e-01
7.34359912e-01	6.26053003e-01
7.38265913e-01	6.38008459e-01
7.42171915e-01	6.50055812e-01
7.46077916e-01	6.62198261e-01
7.49983917e-01	6.74439141e-01
7.53889919e-01	6.86781923e-01
7.57795920e-01	6.99230232e-01
7.61701921e-01	7.11787850e-01
7.65607922e-01	7.24458731e-01
7.69513924e-01	7.37247007e-01
7.73419925e-01	7.50157006e-01
7.77325926e-01	7.63193262e-01
7.81231928e-01	7.76360528e-01
7.85137929e-01	7.89663794e-01
7.89043930e-01	8.03108304e-01
7.92949932e-01	8.16699572e-01
7.96855933e-01	8.30443405e-01
8.00761934e-01	8.44345923e-01
8.04667935e-01	8.58413585e-01
8.08573937e-01	8.72653214e-01
8.12479938e-01	8.87072026e-01
8.16385939e-01	9.01677664e-01
8.20291941e-01	9.16478233e-01
8.24197942e-01	9.31482338e-01
8.28103943e-01	9.46699129e-01
8.32009944e-01	9.62138351e-01
8.35915946e-01	9.77810394e-01
8.39821947e-01	9.93726358e-01
8.43727948e-01	1.00989812e+00
8.47633950e-01	1.02633840e+00
8.51539951e-01	1.04306088e+00
8.55445952e-01	1.06008024e+00
8.59351953e-01	1.07741234e+00
8.63257955e-01	1.09507429e+00
8.67163956e-01	1.11308462e+00
8.71069957e-01	1.13146344e+00
8.74975959e-01	1.15023260e+00
8.78881960e-01	1.16941597e+00
8.82787961e-01	1.18903962e+00
8.86693963e-01	1.20913216e+00
8.90599964e-01	1.22972508e+00
8.94505965e-01	1.25085312e+00
8.98411966e-01	1.27255480e+00
9.02317968e-01	1.29487294e+00
9.06223969e-01	1.31785539e+00
9.10129970e-01	1.34155582e+00
9.14035972e-01	1.36603475e+00
9.17941973e-01	1.39136077e+00
9.21847974e-01	1.41761208e+00
9.25753975e-01	1.44487838e+00
9.29659977e-01	1.47326332e+00
9.33565978e-01	1.50288755e+00
9.37471979e-01	1.53389274e+00
9.41377981e-01	1.56644686e+00
9.45283982e-01	1.60075120e+00
9.49189983e-01	1.63704995e+00
9.53095984e-01	1.67564356e+00
