Basis	L2	L2/r	ref_L2	maxlevel	
27	5.50720207e-02	6.18174259e-01	8.90881817e-02	1	
27	5.50720207e-02	6.18174259e-01	8.90881817e-02	1	
27	5.50720207e-02	6.18174259e-01	8.90881817e-02	1	
27	5.50720207e-02	6.18174259e-01	8.90881817e-02	1	
117	9.92745366e-03	1.11434014e-01	8.90881817e-02	3	
225	8.98732438e-03	1.00881219e-01	8.90881817e-02	4	
683	1.82403693e-03	2.04745107e-02	8.90881817e-02	5	
959	9.61978751e-04	1.07980512e-02	8.90881817e-02	6	
3017	3.85075698e-04	4.32241056e-03	8.90881817e-02	8	
4421	1.47321463e-04	1.65365888e-03	8.90881817e-02	8	
12211	5.60095626e-05	6.28698010e-04	8.90881817e-02	10	
19029	1.83972055e-05	2.06505568e-04	8.90881817e-02	11	
51407	4.47833372e-06	5.02685500e-05	8.90881817e-02	12	
