x_0	f(x)
$flags auto[subscript]:8	auto[subscript]:8
1.62130723e-01	-9.85738510e-01
1.63107223e-01	-9.81767410e-01
1.64083724e-01	-9.77811731e-01
1.65060224e-01	-9.73871294e-01
1.66036724e-01	-9.69945920e-01
1.67013225e-01	-9.66035436e-01
1.67989725e-01	-9.62139668e-01
1.68966225e-01	-9.58258448e-01
1.69942725e-01	-9.54391610e-01
1.70919226e-01	-9.50538990e-01
1.71895726e-01	-9.46700427e-01
1.72872226e-01	-9.42875763e-01
1.73848727e-01	-9.39064842e-01
1.74825227e-01	-9.35267510e-01
1.75801727e-01	-9.31483617e-01
1.76778228e-01	-9.27713014e-01
1.77754728e-01	-9.23955555e-01
1.78731228e-01	-9.20211096e-01
1.79707729e-01	-9.16479495e-01
1.80684229e-01	-9.12760612e-01
1.81660729e-01	-9.09054310e-01
1.82637230e-01	-9.05360453e-01
1.83613730e-01	-9.01678909e-01
1.84590230e-01	-8.98009545e-01
1.85566731e-01	-8.94352233e-01
1.86543231e-01	-8.90706845e-01
1.87519731e-01	-8.87073255e-01
1.88496232e-01	-8.83451339e-01
1.89472732e-01	-8.79840976e-01
1.90449232e-01	-8.76242044e-01
1.91425733e-01	-8.72654427e-01
1.92402233e-01	-8.69078007e-01
1.93378733e-01	-8.65512668e-01
1.94355234e-01	-8.61958298e-01
1.95331734e-01	-8.58414784e-01
1.96308234e-01	-8.54882016e-01
1.97284735e-01	-8.51359885e-01
1.98261235e-01	-8.47848284e-01
1.99237735e-01	-8.44347107e-01
2.00214236e-01	-8.40856250e-01
2.01190736e-01	-8.37375610e-01
2.02167236e-01	-8.33905085e-01
2.03143736e-01	-8.30444575e-01
2.04120237e-01	-8.26993981e-01
2.05096737e-01	-8.23553206e-01
2.06073237e-01	-8.20122154e-01
2.07049738e-01	-8.16700729e-01
2.08026238e-01	-8.13288838e-01
2.09002738e-01	-8.09886388e-01
2.09979239e-01	-8.06493288e-01
2.10955739e-01	-8.03109448e-01
2.11932239e-01	-7.99734779e-01
2.12908740e-01	-7.96369194e-01
2.13885240e-01	-7.93012604e-01
2.14861740e-01	-7.89664926e-01
2.15838241e-01	-7.86326074e-01
2.16814741e-01	-7.82995966e-01
2.17791241e-01	-7.79674517e-01
2.18767742e-01	-7.76361648e-01
2.19744242e-01	-7.73057278e-01
2.20720742e-01	-7.69761327e-01
2.21697243e-01	-7.66473718e-01
2.22673743e-01	-7.63194371e-01
2.23650243e-01	-7.59923212e-01
2.24626744e-01	-7.56660164e-01
2.25603244e-01	-7.53405153e-01
2.26579744e-01	-7.50158105e-01
2.27556245e-01	-7.46918947e-01
2.28532745e-01	-7.43687606e-01
2.29509245e-01	-7.40464012e-01
2.30485746e-01	-7.37248095e-01
2.31462246e-01	-7.34039784e-01
2.32438746e-01	-7.30839011e-01
2.33415246e-01	-7.27645709e-01
2.34391747e-01	-7.24459808e-01
2.35368247e-01	-7.21281245e-01
2.36344747e-01	-7.18109951e-01
2.37321248e-01	-7.14945864e-01
2.38297748e-01	-7.11788918e-01
2.39274248e-01	-7.08639050e-01
2.40250749e-01	-7.05496198e-01
2.41227249e-01	-7.02360298e-01
2.42203749e-01	-6.99231290e-01
2.43180250e-01	-6.96109114e-01
2.44156750e-01	-6.92993708e-01
2.45133250e-01	-6.89885014e-01
2.46109751e-01	-6.86782972e-01
2.47086251e-01	-6.83687526e-01
2.48062751e-01	-6.80598616e-01
2.49039252e-01	-6.77516187e-01
2.50015752e-01	-6.74440181e-01
2.50992252e-01	-6.71370544e-01
2.51968753e-01	-6.68307220e-01
2.52945253e-01	-6.65250154e-01
2.53921753e-01	-6.62199293e-01
2.54898254e-01	-6.59154584e-01
2.55874754e-01	-6.56115972e-01
2.56851254e-01	-6.53083407e-01
2.57827755e-01	-6.50056835e-01
2.58804255e-01	-6.47036207e-01
2.59780755e-01	-6.44021471e-01
2.60757256e-01	-6.41012577e-01
