Basis	L2	L2/r	ref_L2	maxlevel	
5	2.97101314e-02	5.59380138e-02	5.31125962e-01	2	
5	2.97101314e-02	5.59380138e-02	5.31125962e-01	2	
13	5.26652234e-03	9.91576898e-03	5.31125962e-01	4	
15	3.79838856e-03	7.15157764e-03	5.31125962e-01	5	
29	8.40740227e-04	1.58293943e-03	5.31125962e-01	6	
37	5.01257065e-04	9.43763063e-04	5.31125962e-01	6	
83	1.10546226e-04	2.08135609e-04	5.31125962e-01	7	
117	5.41319568e-05	1.01919245e-04	5.31125962e-01	8	
243	1.24678404e-05	2.34743569e-05	5.31125962e-01	9	
359	6.00916462e-06	1.13140103e-05	5.31125962e-01	10	
839	1.11358143e-06	2.09664282e-06	5.31125962e-01	11	
1159	5.90008838e-07	1.11086424e-06	5.31125962e-01	11	
2583	1.03238273e-07	1.94376251e-07	5.31125962e-01	12	
