# ordering=colwise,  basis=BASIS_HAT_HIER, number points=1657, (max)level(s): (7,8), domain=[0,1] x [0,6.2831853]
# x_i : coordinates; (l_i,i_i): multiindex coords; scalaridx_i: linearized multiindex coords
x_0	x_1	f(x)	l_0	i_0	scalaridx_0	l_1	i_1	scalaridx_1	
0	2.4052819	-0.0012957343	0	0	0	7	49	89	
0	2.4298256	-0.00045312602	0	0	0	8	99	178	
0	2.4543693	-0.0018674064	0	0	0	6	25	45	
0	2.478913	-0.00029354013	0	0	0	8	101	179	
0	2.5034566	-0.0017032131	0	0	0	7	51	90	
0	2.5280003	-0.00025504767	0	0	0	8	103	180	
0	2.552544	-0.014601166	0	0	0	5	13	23	
0	2.5770877	-0.0005552036	0	0	0	8	105	181	
0	2.6016314	-0.0016538593	0	0	0	7	53	91	
0	2.6261751	-0.0004213589	0	0	0	8	107	182	
0	2.6507188	-0.0054366607	0	0	0	6	27	46	
0	2.6752625	-0.00040958288	0	0	0	8	109	183	
0	2.6998062	-0.0018784388	0	0	0	7	55	92	
0	2.7243499	-0.00064969014	0	0	0	8	111	184	
0	2.7488936	-0.10348646	0	0	0	4	7	12	
0	2.7734373	-0.00046716805	0	0	0	8	113	185	
0	2.797981	-0.0021510059	0	0	0	7	57	93	
0	2.8225246	-0.00069422884	0	0	0	8	115	186	
0	2.8470683	-0.0079678478	0	0	0	6	29	47	
0	2.871612	-0.0005108493	0	0	0	8	117	187	
0	2.8961557	-0.0022805948	0	0	0	7	59	94	
0	2.9206994	-0.00073936494	0	0	0	8	119	188	
0	2.9452431	-0.035074022	0	0	0	5	15	24	
0	2.9697868	-0.00054758064	0	0	0	8	121	189	
0	2.9943305	-0.0023089213	0	0	0	7	61	95	
0	3.0188742	-0.00066617942	0	0	0	8	123	190	
0	3.0434179	-0.0095006552	0	0	0	6	31	48	
0	3.0679616	-0.00054758064	0	0	0	8	125	191	
0	3.0925053	-0.0021903226	0	0	0	7	63	96	
0	3.117049	-0.00054758064	0	0	0	8	127	192	
0	3.1415927	3.469447e-18	0	0	0	1	1	2	
0	3.1661363	-0.00054758064	0	0	0	8	129	193	
0	3.19068	-0.0021903226	0	0	0	7	65	97	
0	3.2152237	-0.00054758064	0	0	0	8	131	194	
0	3.2397674	-0.0095006552	0	0	0	6	33	49	
0	3.2643111	-0.00066617942	0	0	0	8	133	195	
0	3.2888548	-0.0023089213	0	0	0	7	67	98	
0	3.3133985	-0.00054758064	0	0	0	8	135	196	
0	3.3379422	-0.035074022	0	0	0	5	17	25	
0	3.3624859	-0.00073936494	0	0	0	8	137	197	
0	3.3870296	-0.0022805948	0	0	0	7	69	99	
0	3.4115733	-0.0005108493	0	0	0	8	139	198	
0	3.436117	-0.0079678478	0	0	0	6	35	50	
0	3.4606607	-0.00069422884	0	0	0	8	141	199	
0	3.4852044	-0.0021510059	0	0	0	7	71	100	
0	3.509748	-0.00046716805	0	0	0	8	143	200	
0	3.5342917	-0.10348646	0	0	0	4	9	13	
0	3.5588354	-0.00064969014	0	0	0	8	145	201	
0	3.5833791	-0.0018784388	0	0	0	7	73	101	
0	3.6079228	-0.00040958288	0	0	0	8	147	202	
0	3.6324665	-0.0054366607	0	0	0	6	37	51	
0	3.6570102	-0.0004213589	0	0	0	8	149	203	
0	3.6815539	-0.0016538593	0	0	0	7	75	102	
0	3.7060976	-0.0005552036	0	0	0	8	151	204	
0	3.7306413	-0.014601166	0	0	0	5	19	26	
0	3.755185	-0.00025504767	0	0	0	8	153	205	
0	3.7797287	-0.0017032131	0	0	0	7	77	103	
0	3.8042724	-0.00029354013	0	0	0	8	155	206	
0	3.828816	-0.0018674064	0	0	0	6	39	52	
0	3.8533597	-0.00045312602	0	0	0	8	157	207	
0	3.8779034	-0.0012957343	0	0	0	7	79	104	
0	3.9024471	-0.00052343648	0	0	0	8	159	208	
0	3.9269908	0.00022828604	0	0	0	3	5	7	
0	3.9515345	-0.00036385059	0	0	0	8	161	209	
0	3.9760782	-0.0010829273	0	0	0	7	81	105	
0	4.0006219	-0.00031066821	0	0	0	8	163	210	
0	4.0251656	0.0018332785	0	0	0	6	41	53	
0	4.074253	-0.00085028622	0	0	0	7	83	106	
0	4.1233404	0.014563771	0	0	0	5	21	27	
0	4.1478841	-0.00038376212	0	0	0	8	169	213	
0	4.1724277	0.0011757122	0	0	0	7	85	107	
0	4.1969714	-0.00021628951	0	0	0	8	171	214	
0	4.2215151	0.0052694104	0	0	0	6	43	54	
0	4.2460588	-2.220446e-16	0	0	0	8	173	215	
0	4.2706025	0.0013886708	0	0	0	7	87	108	
0	4.2951462	-7.064709e-05	0	0	0	8	175	216	
0	4.3196899	0.10367937	0	0	0	4	11	14	
0	4.3442336	-0.00012637704	0	0	0	8	177	217	
0	4.3687773	0.0017362977	0	0	0	7	89	109	
0	4.393321	1.110223e-16	0	0	0	8	179	218	
0	4.4178647	0.0079821231	0	0	0	6	45	55	
0	4.4424084	-4.0039162e-05	0	0	0	8	181	219	
0	4.4669521	0.0019313243	0	0	0	7	91	110	
0	4.4914957	-1.110223e-16	0	0	0	8	183	220	
0	4.5160394	0.035274264	0	0	0	5	23	28	
0	4.5405831	-1.110223e-16	0	0	0	8	185	221	
0	4.5651268	0.0023457783	0	0	0	7	93	111	
0	4.5896705	1.110223e-16	0	0	0	8	187	222	
0	4.6142142	0.0094344202	0	0	0	6	47	56	
0	4.6387579	1.110223e-16	0	0	0	8	189	223	
0	4.6633016	0.0023685891	0	0	0	7	95	112	
0	4.6878453	0	0	0	0	8	191	224	
0	4.712389	1	0	0	0	2	3	4	
0	4.7369327	0	0	0	0	8	193	225	
0	4.7614764	0.0023685891	0	0	0	7	97	113	
0	4.7860201	1.110223e-16	0	0	0	8	195	226	
0	4.8105638	0.0094344202	0	0	0	6	49	57	
0	4.8351074	1.110223e-16	0	0	0	8	197	227	
0	4.8596511	0.0023457783	0	0	0	7	99	114	
0	4.8841948	0	0	0	0	8	199	228	
0	4.9087385	0.035274264	0	0	0	5	25	29	
0	4.9332822	2.220446e-16	0	0	0	8	201	229	
0	4.9578259	0.0019313243	0	0	0	7	101	115	
0	4.9823696	-4.0039162e-05	0	0	0	8	203	230	
0	5.0069133	0.0079821231	0	0	0	6	51	58	
0	5.031457	-1.110223e-16	0	0	0	8	205	231	
0	5.0560007	0.0017362977	0	0	0	7	103	116	
0	5.0805444	-0.00012637704	0	0	0	8	207	232	
0	5.1050881	0.10367937	0	0	0	4	13	15	
0	5.1296318	-7.064709e-05	0	0	0	8	209	233	
0	5.1541754	0.0013886708	0	0	0	7	105	117	
0	5.1787191	0	0	0	0	8	211	234	
0	5.2032628	0.0052694104	0	0	0	6	53	59	
0	5.2278065	-0.00021628951	0	0	0	8	213	235	
0	5.2523502	0.0011757122	0	0	0	7	107	118	
0	5.2768939	-0.00038376212	0	0	0	8	215	236	
0	5.3014376	0.014563771	0	0	0	5	27	30	
