# ordering=colwise,  basis=BASIS_NODAL, number points=1089, (max)level(s): (5,5), domain=[0,1] x [0,6.2831853]
# x_i : coordinates; (l_i,i_i): multiindex coords; scalaridx_i: linearized multiindex coords
x_0	x_1	f(x)	l_0	i_0	scalaridx_0	l_1	i_1	scalaridx_1	
0.09375	1.1780972	0.40416137	5	3	18	4	3	10	
0.09375	1.3744468	0.45560205	5	3	18	5	7	20	
0.09375	1.5707963	0.47264775	5	3	18	2	1	3	
0.09375	1.7671459	0.45560205	5	3	18	5	9	21	
0.09375	1.9634954	0.40416137	5	3	18	4	5	11	
0.09375	2.1598449	0.32780557	5	3	18	5	11	22	
0.09375	2.3561945	0.23669948	5	3	18	3	3	6	
0.09375	2.552544	0.14707284	5	3	18	5	13	23	
0.09375	2.7488936	0.069960963	5	3	18	4	7	12	
0.09375	2.9452431	0.018685284	5	3	18	5	15	24	
0.09375	3.1415927	0.0002746582	5	3	18	1	1	2	
0.09375	3.3379422	0.018685284	5	3	18	5	17	25	
0.09375	3.5342917	0.069960963	5	3	18	4	9	13	
0.09375	3.7306413	0.14707284	5	3	18	5	19	26	
0.09375	3.9269908	0.23669948	5	3	18	3	5	7	
0.09375	4.1233404	0.32780557	5	3	18	5	21	27	
0.09375	4.3196899	0.40416137	5	3	18	4	11	14	
0.09375	4.5160394	0.45560205	5	3	18	5	23	28	
0.09375	4.712389	0.47264775	5	3	18	2	3	4	
0.09375	4.9087385	0.45560205	5	3	18	5	25	29	
0.09375	5.1050881	0.40416137	5	3	18	4	13	15	
0.09375	5.3014376	0.32780557	5	3	18	5	27	30	
0.09375	5.4977871	0.23669948	5	3	18	3	7	8	
0.09375	5.6941367	0.14707284	5	3	18	5	29	31	
0.09375	5.8904862	0.069960963	5	3	18	4	15	16	
0.09375	6.0868358	0.018685284	5	3	18	5	31	32	
0.09375	6.2831853	0.0002746582	5	3	18	0	1	1	

0.125	0	0.00048828125	3	1	5	0	0	0	
0.125	0.19634954	0.014799228	3	1	5	5	1	17	
0.125	0.39269908	0.054601985	3	1	5	4	1	9	
0.125	0.58904862	0.11474551	3	1	5	5	3	18	
0.125	0.78539816	0.18462305	3	1	5	3	1	5	
0.125	0.9817477	0.25493484	3	1	5	5	5	19	
0.125	1.1780972	0.31455529	3	1	5	4	3	10	
0.125	1.3744468	0.35440007	3	1	5	5	7	20	
0.125	1.5707963	0.36860377	3	1	5	2	1	3	
0.125	1.7671459	0.35440007	3	1	5	5	9	21	
0.125	1.9634954	0.31455529	3	1	5	4	5	11	
0.125	2.1598449	0.25493484	3	1	5	5	11	22	
0.125	2.3561945	0.18462305	3	1	5	3	3	6	
0.125	2.552544	0.11474551	3	1	5	5	13	23	
0.125	2.7488936	0.054601985	3	1	5	4	7	12	
0.125	2.9452431	0.014799228	3	1	5	5	15	24	
0.125	3.1415927	0.00048828125	3	1	5	1	1	2	
0.125	3.3379422	0.014799228	3	1	5	5	17	25	
0.125	3.5342917	0.054601985	3	1	5	4	9	13	
0.125	3.7306413	0.11474551	3	1	5	5	19	26	
0.125	3.9269908	0.18462305	3	1	5	3	5	7	
0.125	4.1233404	0.25493484	3	1	5	5	21	27	
0.125	4.3196899	0.31455529	3	1	5	4	11	14	
0.125	4.5160394	0.35440007	3	1	5	5	23	28	
0.125	4.712389	0.36860377	3	1	5	2	3	4	
0.125	4.9087385	0.35440007	3	1	5	5	25	29	
0.125	5.1050881	0.31455529	3	1	5	4	13	15	
0.125	5.3014376	0.25493484	3	1	5	5	27	30	
0.125	5.4977871	0.18462305	3	1	5	3	7	8	
0.125	5.6941367	0.11474551	3	1	5	5	29	31	
0.125	5.8904862	0.054601985	3	1	5	4	15	16	
0.125	6.0868358	0.014799228	3	1	5	5	31	32	
0.125	6.2831853	0.00048828125	3	1	5	0	1	1	

0.15625	0	0.00076293945	5	5	19	0	0	0	
0.15625	0.19634954	0.011744896	5	5	19	5	1	17	
0.15625	0.39269908	0.04327531	5	5	19	4	1	9	
0.15625	0.58904862	0.090169453	5	5	19	5	3	18	
0.15625	0.78539816	0.14478964	5	5	19	3	1	5	
0.15625	0.9817477	0.19992275	5	5	19	5	5	19	
