
# Surface 0 of 1 surfaces

# Curve title: ""example_273_contourtmp0.dat""

# Contour 0, label:        1
-8e-05 -8e-05  1 


# Contour 1, label:      0.8
-8e-05  0.466498  0.8 
-0.127131  0.41658  0.8 
-0.41674  0.126539  0.8 
-0.46643 -8e-05  0.8 
-0.41674 -0.126604  0.8 
-0.126604 -0.41674  0.8 
-8e-05 -0.46643  0.8 
 0.126539 -0.41674  0.8 
 0.41658 -0.127131  0.8 
 0.466498 -8e-05  0.8 
 0.41658  0.127057  0.8 
 0.127057  0.41658  0.8 
-8e-05  0.466498  0.8 


# Contour 2, label:      0.6
-0.41674  0.571651  0.6 
-0.571762  0.41658  0.6 
-0.710604 -8e-05  0.6 
-0.571671 -0.41674  0.6 
-0.41674 -0.571671  0.6 
-8e-05 -0.710604  0.6 
 0.41658 -0.571762  0.6 
 0.571651 -0.41674  0.6 
 0.710594 -8e-05  0.6 
 0.571733  0.41658  0.6 
 0.41658  0.571733  0.6 
-8e-05  0.710594  0.6 
-0.41674  0.571651  0.6 


# Contour 3, label:      0.4
-0.41674  0.867253  0.4 
-0.465338  0.83324  0.4 
-0.8334  0.464983  0.4 
-0.867257  0.41658  0.4 
-0.976307 -8e-05  0.4 
-0.867257 -0.41674  0.4 
-0.8334 -0.465143  0.4 
-0.465143 -0.8334  0.4 
-0.41674 -0.867257  0.4 
-8e-05 -0.976307  0.4 
 0.41658 -0.867257  0.4 
 0.464983 -0.8334  0.4 
 0.83324 -0.465338  0.4 
 0.867253 -0.41674  0.4 
 0.976276 -8e-05  0.4 
 0.867253  0.41658  0.4 
 0.83324  0.465203  0.4 
 0.465203  0.83324  0.4 
 0.41658  0.867253  0.4 
-8e-05  0.976276  0.4 
-0.41674  0.867253  0.4 


# Contour 4, label:      0.2
-8e-05  1.27714  0.2 
-0.120338  1.2499  0.2 
-0.41674  1.20927  0.2 
-0.8334  0.975322  0.2 
-0.975482  0.83324  0.2 
-1.20924  0.41658  0.2 
-1.25006  0.118984  0.2 
-1.27706 -8e-05  0.2 
-1.25006 -0.119144  0.2 
-1.20924 -0.41674  0.2 
-0.975482 -0.8334  0.2 
-0.8334 -0.975482  0.2 
-0.41674 -1.20924  0.2 
-0.119144 -1.25006  0.2 
-8e-05 -1.27706  0.2 
 0.118984 -1.25006  0.2 
 0.41658 -1.20924  0.2 
 0.83324 -0.975482  0.2 
 0.975322 -0.8334  0.2 
 1.20927 -0.41674  0.2 
 1.2499 -0.120338  0.2 
 1.27714 -8e-05  0.2 
 1.2499  0.120178  0.2 
 1.20927  0.41658  0.2 
 0.975601  0.83324  0.2 
 0.83324  0.975601  0.2 
 0.41658  1.20927  0.2 
 0.120178  1.2499  0.2 
-8e-05  1.27714  0.2 

