-3.24098 15.46859
-3.15005 15.46793
-3.13205 15.46764
-3.03375 15.46514
-2.94266 15.46145
-2.86309 15.45344
-2.78022 15.42299
-2.71653 15.38079
-2.53041 15.16335
-2.31648 14.74227
-1.93556 13.53895
-1.64884 12.22611
-1.36239 10.54200
-0.93897 7.52613
-0.30000 3.62234
-0.10000 3.13037
-0.00000 3.06780
0.10000 3.12986
0.30000 3.60861
0.71954 5.76144
1.11229 8.25063
1.39830 9.82046
1.61955 10.77871
1.81907 11.45069
2.03743 12.00227
2.41547 12.56801
2.44747 12.59468
2.57448 12.66844
2.65913 12.68968
2.72919 12.69491
2.80099 12.69776
2.87321 12.69961
2.90861 12.70015
2.97604 12.70055
