-6.84792 2.41861
-6.76786 2.41852
-6.68805 2.41824
-6.60996 2.41777
-6.51075 2.41679
-6.40551 2.41505
-6.25340 2.41075
-6.03965 2.40070
-5.72466 2.37734
-5.25092 2.32533
-4.91777 2.27973
-4.41289 2.20389
-4.00792 2.14396
-3.66562 2.09832
-3.37459 2.06512
-3.12640 2.04160
-2.91205 2.02498
-2.72515 2.01318
-2.56036 2.00469
-2.41403 1.99851
-2.28241 1.99390
-2.16229 1.99036
-2.05106 1.98758
-1.94645 1.98531
-1.84609 1.98339
-1.74791 1.98171
-1.64947 1.98017
-1.54841 1.97871
-1.44122 1.97723
-1.32126 1.97565
-1.16446 1.97363
-0.90552 1.97038
-0.64659 1.96739
-0.46271 1.96559
-0.30000 1.96437
-0.10000 1.96349
0.00000 1.96337
0.10000 1.96350
0.30000 1.96457
0.56334 1.96786
0.72469 1.97106
0.90410 1.97577
1.10014 1.98238
1.31256 1.99137
1.54222 2.00335
1.78995 2.01902
2.05698 2.03926
2.34428 2.06507
2.65132 2.09742
2.97466 2.13693
3.30793 2.18352
3.64762 2.23692
3.99685 2.29747
4.35942 2.36533
4.73307 2.43910
5.10177 2.51426
5.44872 2.58624
5.77085 2.65390
6.07726 2.71933
6.37863 2.78542
6.68862 2.85637
7.03375 2.94064
7.49098 3.06389
8.03953 3.23189
8.57260 3.41315
9.29853 3.66690
9.73987 3.80614
10.03601 3.88485
10.26232 3.93412
10.44394 3.96577
10.59550 3.98653
10.73385 4.00111
10.85513 4.01094
10.93401 4.01619
10.99168 4.01963
11.04379 4.02251
11.09194 4.02503
11.18684 4.02965
11.23618 4.03190
11.28800 4.03416
11.34303 4.03643
11.40199 4.03872
11.46561 4.04104
11.53478 4.04335
11.60991 4.04562
11.69157 4.04779
11.77873 4.04976
11.86931 4.05140
11.95829 4.05260
12.04019 4.05335
12.10972 4.05369
12.16727 4.05379
