G	Basis	dof	L2	A	Lmax	cgiter	maxlevel	eps
7	7	7	8.47178381e-02	0.00000000e+00	2.40709867e-01	2	2	-1
31	31	31	3.04409349e-02	0.00000000e+00	7.83790314e-02	5	3	-1
111	111	111	1.02214539e-02	0.00000000e+00	3.08129583e-02	12	4	-1
351	351	351	3.30346265e-03	0.00000000e+00	1.04183980e-02	29	5	-1
1023	1023	1023	1.03886535e-03	0.00000000e+00	3.27014492e-03	46	6	-1
2815	2815	2815	3.19646457e-04	0.00000000e+00	9.82705632e-04	53	7	-1
7423	7423	7423	9.65789766e-05	0.00000000e+00	2.98443097e-04	57	8	-1
18943	18943	18943	2.87339125e-05	0.00000000e+00	8.86501125e-05	62	9	-1
47103	47103	47103	8.43749881e-06	0.00000000e+00	2.62313540e-05	66	10	-1
